exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,rotulo,coluna,cod_conta,conta,valor
2015,RREO Simplificado,6,B,Prefeitura Municipal de Abdon Batista - SC,4200051,SC,2643,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,3877089.09
2015,RREO Simplificado,6,B,Prefeitura Municipal de Abelardo Luz - SC,4200101,SC,17651,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,4594802.92
2015,RREO Simplificado,6,B,Prefeitura Municipal de Agrolândia - SC,4200200,SC,10115,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,2396060.01
2015,RREO Simplificado,6,B,Prefeitura Municipal de Agronômica - SC,4200309,SC,5239,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1760715.91
2015,RREO Simplificado,6,B,Prefeitura Municipal de Água Doce - SC,4200408,SC,7121,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,530775.19
2015,RREO Simplificado,6,B,Prefeitura Municipal de Águas de Chapecó - SC,4200507,SC,6346,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1108504.78
2015,RREO Simplificado,6,B,Prefeitura Municipal de Águas Frias - SC,4200556,SC,2419,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1451576.34
2015,RREO Simplificado,6,B,Prefeitura Municipal de Águas Mornas - SC,4200606,SC,6020,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1970987.88
2015,RREO Simplificado,6,B,Prefeitura Municipal de Alfredo Wagner - SC,4200705,SC,9794,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,61865.79
2015,RREO Simplificado,6,B,Prefeitura Municipal de Alto Bela Vista - SC,4200754,SC,1997,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,684813.27
2015,RREO Simplificado,6,B,Prefeitura Municipal de Anchieta - SC,4200804,SC,6066,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,547552.93
2015,RREO Simplificado,6,B,Prefeitura Municipal de Angelina - SC,4200903,SC,5109,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,376152.93
2015,RREO Simplificado,6,B,Prefeitura Municipal de Anitápolis - SC,4201109,SC,3256,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,796465.51
2015,RREO Simplificado,6,B,Prefeitura Municipal de Antônio Carlos - SC,4201208,SC,8012,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,3599091.57
2015,RREO Simplificado,6,B,Prefeitura Municipal de Apiúna - SC,4201257,SC,10211,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,2462764.8
2015,RREO Simplificado,6,B,Prefeitura Municipal de Arabutã - SC,4201273,SC,4273,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,2052515.67
2015,RREO Simplificado,6,B,Prefeitura Municipal de Arroio Trinta - SC,4201604,SC,3563,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1184074.54
2015,RREO Simplificado,6,B,Prefeitura Municipal de Arvoredo - SC,4201653,SC,2276,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,2027338.18
2015,RREO Simplificado,6,B,Prefeitura Municipal de Ascurra - SC,4201703,SC,7732,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,645761.63
2015,RREO Simplificado,6,B,Prefeitura Municipal de Atalanta - SC,4201802,SC,3296,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,208914.38
2015,RREO Simplificado,6,B,Prefeitura Municipal de Aurora - SC,4201901,SC,5668,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1338486.08
2015,RREO Simplificado,6,B,Prefeitura Municipal de Balneário Barra do Sul - SC,4202057,SC,9580,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,4142434.6
2015,RREO Simplificado,6,B,Prefeitura Municipal de Balneário Gaivota - SC,4202073,SC,9551,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,3068723.62
2015,RREO Simplificado,6,B,Prefeitura Municipal de Bandeirante - SC,4202081,SC,2836,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,345722.78
2015,RREO Simplificado,6,B,Prefeitura Municipal de Barra Bonita - SC,4202099,SC,1815,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,851590.02
2015,RREO Simplificado,6,B,Prefeitura Municipal de Barra Velha - SC,4202107,SC,25662,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,6292469.84
2015,RREO Simplificado,6,B,Prefeitura Municipal de Bela Vista do Toldo - SC,4202131,SC,6219,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,623511.37
2015,RREO Simplificado,6,B,Prefeitura Municipal de Belmonte - SC,4202156,SC,2696,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,760287.03
2015,RREO Simplificado,6,B,Prefeitura Municipal de Benedito Novo - SC,4202206,SC,11037,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1387800.58
2015,RREO Simplificado,6,B,Prefeitura Municipal de Bocaina do Sul - SC,4202438,SC,3408,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1934652.75
2015,RREO Simplificado,6,B,Prefeitura Municipal de Bom Jardim da Serra - SC,4202503,SC,4598,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1149518.03
2015,RREO Simplificado,6,B,Prefeitura Municipal de Bom Jesus - SC,4202537,SC,2771,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1105354.62
2015,RREO Simplificado,6,B,Prefeitura Municipal de Bom Jesus do Oeste - SC,4202578,SC,2158,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1348383.39
2015,RREO Simplificado,6,B,Prefeitura Municipal de Bom Retiro - SC,4202602,SC,9498,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1307814.73
2015,RREO Simplificado,6,B,Prefeitura Municipal de Botuverá - SC,4202701,SC,4864,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,5979706.12
2015,RREO Simplificado,6,B,Prefeitura Municipal de Braço do Trombudo - SC,4202859,SC,3627,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1366729.91
2015,RREO Simplificado,6,B,Prefeitura Municipal de Brunópolis - SC,4202875,SC,2690,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1268449.43
2015,RREO Simplificado,6,B,Prefeitura Municipal de Caibi - SC,4203105,SC,6259,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,312296.35
2015,RREO Simplificado,6,B,Prefeitura Municipal de Capão Alto - SC,4203253,SC,2682,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1197475.27
2015,RREO Simplificado,6,B,Prefeitura Municipal de Campo Alegre - SC,4203303,SC,11982,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1031868.18
2015,RREO Simplificado,6,B,Prefeitura Municipal de Campo Belo do Sul - SC,4203402,SC,7358,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,479572.69
2015,RREO Simplificado,6,B,Prefeitura Municipal de Campos Novos - SC,4203600,SC,34721,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,6033694.27
2015,RREO Simplificado,6,B,Prefeitura Municipal de Canelinha - SC,4203709,SC,11452,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1358941.59
2015,RREO Simplificado,6,B,Prefeitura Municipal de Capinzal - SC,4203907,SC,21928,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,4452516.41
2015,RREO Simplificado,6,B,Prefeitura Municipal de Capivari de Baixo - SC,4203956,SC,23342,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,2525405.64
2015,RREO Simplificado,6,B,Prefeitura Municipal de Catanduvas - SC,4204004,SC,10244,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,2430232.79
2015,RREO Simplificado,6,B,Prefeitura Municipal de Caxambu do Sul - SC,4204103,SC,4118,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,580541.25
2015,RREO Simplificado,6,B,Prefeitura Municipal de Celso Ramos - SC,4204152,SC,2784,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1870449.52
2015,RREO Simplificado,6,B,Prefeitura Municipal de Cerro Negro - SC,4204178,SC,3417,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,790718.39
2015,RREO Simplificado,6,B,Prefeitura Municipal de Chapadão do Lageado - SC,4204194,SC,2892,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1033196.81
2015,RREO Simplificado,6,B,Prefeitura Municipal de Cocal do Sul - SC,4204251,SC,16009,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,5474711.75
2015,RREO Simplificado,6,B,Prefeitura Municipal de Cordilheira Alta - SC,4204350,SC,4114,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1048736.17
2015,RREO Simplificado,6,B,Prefeitura Municipal de Coronel Freitas - SC,4204400,SC,10236,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,5242832.31
2015,RREO Simplificado,6,B,Prefeitura Municipal de Coronel Martins - SC,4204459,SC,2527,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,1006750.71
2015,RREO Simplificado,6,B,Prefeitura Municipal de Corupá - SC,4204509,SC,14925,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,6764994.07
2015,RREO Simplificado,6,B,Prefeitura Municipal de Correia Pinto - SC,4204558,SC,14063,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,3298762.15
2015,RREO Simplificado,6,B,Prefeitura Municipal de Cunha Porã - SC,4204707,SC,10944,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,831603.77
2015,RREO Simplificado,6,B,Prefeitura Municipal de Cunhataí - SC,4204756,SC,1937,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,569893.84
2015,RREO Simplificado,6,B,Prefeitura Municipal de Curitibanos - SC,4204806,SC,39061,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,7604264.54
2015,RREO Simplificado,6,B,Prefeitura Municipal de Descanso - SC,4204905,SC,8558,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,257317.45
2015,RREO Simplificado,6,B,Prefeitura Municipal de Dionísio Cerqueira - SC,4205001,SC,15283,RREO-Anexo 01,NA,DESPESAS PAGAS ATÉ O BIMESTRE (j),Investimentos,INVESTIMENTOS,3673456.68
